Name,Project Title,Amount($),Fiscal Year,Program
"Antle, Alissa",Design and Evaluation of a Children's Brain-Computer Application for Learning Self-Regulation,34831,2019-2020,Discovery Grants Program - Individual
"Antle, Alissa",Design and Evaluation of a Children's Brain-Computer Application for Learning Self-Regulation,34831,2018-2019,Discovery Grants Program - Individual
"Antle, Alissa",Design and Evaluation of a Children's Brain-Computer Application for Learning Self-Regulation,34831,2016-2017,Discovery Grants Program - Individual
"Antle, Alissa",Design and Evaluation of a Children's Brain-Computer Application for Learning Self-Regulation,34831,2017-2018,Discovery Grants Program - Individual
"Antle, Alissa",Changing the game: Design and evaluation of mobile and biowearable technologies to support children's emotion regulation skills development in everyday life,41000,2022-2023,Discovery Grants Program - Individual
"Antle, Alissa",Design and Evaluation of a Children's Brain-Computer Application for Learning Self-Regulation,34831,2021-2022,Discovery Grants Program - Individual
"Antle, AlissaNicole","No child alone: User centred design of a machine-learning, private social network for school aged children to address their COVID-19 related socio-emotional needs.",50000,2020-2021,Alliance Grants
"Antonie, Luiza",Bias and Representativeness in Linked Data,24000,2022-2023,Discovery Grants Program - Individual
"Antoniol, Giuliano",A framework for rapid software application evolution,42000,2021-2022,Discovery Grants Program - Individual
"Antoniol, Giuliano",A framework for rapid software application evolution,42000,2022-2023,Discovery Grants Program - Individual
"Antoniol, Giuliano",A framework for rapid software application evolution,42000,2020-2021,Discovery Grants Program - Individual
"Antoniol, Giuliano",Software change and evolution,50000,2019-2020,Canada Research Chairs
"Antoniol, Giuliano",A framework for rapid software application evolution,42000,2019-2020,Discovery Grants Program - Individual
"Antoniol, Giuliano",A framework for rapid software application evolution,42000,2017-2018,Discovery Grants Program - Individual
"Antoniol, Giuliano",Software change and evolution,200000,2016-2017,Canada Research Chairs
"Antoniol, Giuliano",A framework to assess Android mobile applications energy consumption and privacy policies.,31000,2016-2017,Discovery Grants Program - Individual
"Antoniol, Giuliano",A framework for rapid software application evolution,42000,2018-2019,Discovery Grants Program - Individual
"Antoniol, Giuliano",Software change and evolution,200000,2018-2019,Canada Research Chairs
"Antoniol, Giuliano",Software change and evolution,200000,2017-2018,Canada Research Chairs
"Antoniol, Giuliano",Software Change and Evolution,200000,2011-2012,Canada Research Chairs
"Antoniol, Giuliano",Software Change and Evolution,200000,2010-2011,Canada Research Chairs
"Antoniol, Giuliano",Software Change and Evolution,50000,2012-2013,Canada Research Chairs
"Antoniol, Giuliano",Software change and evolution,150000,2012-2013,Canada Research Chairs
"Antoniol, Giuliano",Software change and evolution,200000,2015-2016,Canada Research Chairs
"Antoniol, Giuliano",Software change and evolution,200000,2014-2015,Canada Research Chairs
"Anupindi, Vaishnavi",Scalable Data Management in Blockchain,4500,2018-2019,University Undergraduate Student Research Awards
"Anvik, John",Understanding and Supporting Information Needs of Software Development Tasks,23000,2022-2023,Discovery Grants Program - Individual
"Anvik, John",Understanding and Supporting Information Needs of Software Development Tasks,23000,2023-2024,Discovery Grants Program - Individual
"Aouabed, Zahia",Algorithmes et logiciels bioinformatiques pour la caractérisation des voies parallèles de signalisation contrôlant les mécanismes de migration collective des métastases de cancer du sein.,21000,2020-2021,Postgraduate Scholarships - Doctoral
"Aouabed, Zahia",Algorithmes et logiciels bioinformatiques pour la caractérisation des voies parallèles de signalisation contrôlant les mécanismes de migration collective des métastases de cancer du sein.,17500,2021-2022,Postgraduate Scholarships - Doctoral
"Aouabed, ZahiaZ",Algorithmes et logiciels bioinformatiques pour la caractérisation des voies parallèles de signalisation contrôlant les mécanismes de migration collective des métastases de cancer du sein.,10500,2022-2023,Postgraduate Scholarships - Doctoral
"April, Alain",Process model for software maintenance and evolution,15000,2013-2014,Discovery Grants Program - Individual
"April, Alain",Process model for software maintenance and evolution,15000,2012-2013,Discovery Grants Program - Individual
"April, Alain",Process model for software maintenance and evolution,15000,2010-2011,Discovery Grants Program - Individual
"April, Alain",Process model for software maintenance and evolution,15000,2011-2012,Discovery Grants Program - Individual
"Arab, LaylaL",Data Mapping and Texturing in a Discrete Global Grid System,6000,2022-2023,University Undergraduate Student Research Awards
"Arbel, Tal",Probabilistic Inference in Computer Vision and Medical Imaging,43000,2021-2022,Discovery Grants Program - Individual
"Arbel, Tal",Probabilistic inference in computer vision and medical imaging,40000,2011-2012,Discovery Grants Program - Accelerator Supplements
"Arbel, Tal",Probabilistic inference in computer vision and medical imaging,43000,2011-2012,Discovery Grants Program - Individual
"Arbel, Tal",Probabilistic inference in computer vision and medical imaging,40000,2010-2011,Discovery Grants Program - Accelerator Supplements
"Arbel, Tal",Probabilistic inference in computer vision and medical imaging,43000,2010-2011,Discovery Grants Program - Individual
"Arbel, Tal",Probabilistic inference in computer vision and medical imaging,40000,2012-2013,Discovery Grants Program - Accelerator Supplements
"Arbel, Tal",Probabilistic inference in computer vision and medical imaging,43000,2012-2013,Discovery Grants Program - Individual
"Arbel, Tal",Probabilistic inference in computer vision and medical imaging,43000,2013-2014,Discovery Grants Program - Individual
"Arbel, Tal",Probabilistic inference in computer vision and medical imaging,43000,2014-2015,Discovery Grants Program - Individual
"Arbel, Tal",Probabilistic Inference in Computer Vision and Medical Imaging,43000,2015-2016,Discovery Grants Program - Individual
"Arbel, Tal",Probabilistic Inference in Computer Vision and Medical Imaging,43000,2020-2021,Discovery Grants Program - Individual
"Arbel, Tal",Probabilistic Inference in Computer Vision and Medical Imaging,43000,2019-2020,Discovery Grants Program - Individual
"Arbel, Tal",Probabilistic Inference in Computer Vision and Medical Imaging,43000,2018-2019,Discovery Grants Program - Individual
"Arbel, Tal",Probabilistic Inference in Computer Vision and Medical Imaging,43000,2016-2017,Discovery Grants Program - Individual
"Ardakanian, Omid",Autonomous Internet of Things in the Built Environment,28000,2022-2023,Discovery Grants Program - Individual
"Arevalo, Gisele",Participatory Co-Creation of a Literacy-Based Software Application to Support Parolees,6000,2021-2022,University Undergraduate Student Research Awards
"Armenakis, (Constadinos)Costas",Road sign extraction from mobile lidar and camera data,24850,2012-2013,Engage Grants Program
"Armenakis, Constadinos(Costas)",Improving situation awareness for safe and compliant UAV/RPAS operations,25000,2015-2016,Engage Grants Program
"Armenakis, Constadinos(Costas)",Positioning and high definition (HD) mapping for autonomous vehicles,150000,2018-2019,Research Tools and Instruments
"Arnold, Andrew",Multi-Dimensional Truncated Fourier Transforms,35000,2014-2015,Alexander Graham Bell Canada Graduate Scholarships - Doctoral
"Arnold, Dirk","Evolutionary Computing: Constraints, Surrogate Models, and Noisy Gradients",41000,2022-2023,Discovery Grants Program - Individual
"ArocaOuellette, Stephane",Machine Learning for Medical Image Analysis,4500,2017-2018,University Undergraduate Student Research Awards
"Arora, Dev",Discovery of compound causes in time series data,6000,2021-2022,University Undergraduate Student Research Awards
"ASADUZZAMAN, MUHAMMAD",Supporting Reusability of Online Code Examples,25000,2022-2023,Discovery Grants Program - Individual
"Ascher, Uri","Computational methods involving differential equations in computer graphics, machine learning and inference problems",41000,2022-2023,Discovery Grants Program - Individual
"Aseniero, BonAdriel",Personal Visualizations as Tools for Empowerment-Engaging People in Health Awareness through Visualizations of Their Own Data,21000,2016-2017,Postgraduate Scholarships - Doctoral
"Aseniero, BonAdriel",Personal Visualizations as Tools for Empowerment-Engaging People in Health Awareness through Visualizations of Their Own Data,21000,2019-2020,Postgraduate Scholarships - Doctoral
"Aseniero, BonAdriel",Personal Visualizations as Tools for Empowerment-Engaging People in Health Awareness through Visualizations of Their Own Data,21000,2015-2016,Postgraduate Scholarships - Doctoral
"Ashfaq, Tabish",Evolutionary Optimization of Artificial Neural Networks for Biomedical Image Segmentation,4500,2020-2021,University Undergraduate Student Research Awards
"Ashkan, Azin",An enterprise search system based on user data and classification of documents into genres,21000,2010-2011,Postgraduate Scholarships - Doctoral
"Ashlock, Daniel",Efficient layout and automatic creation of self inking stamps,19869,2011-2012,Engage Grants Program
"Ashlock, Daniel","Representation and Applications of Evolutionary Computation to Bioinformatics, Optimization, and Games.",20000,2015-2016,Discovery Grants Program - Individual
"Ashlock, Daniel",Computational intelligence for manufacturing support,81700,2014-2015,Collaborative Research and Development Grants
"Ashlock, Daniel","Representation and Applications of Evolutionary Computation to Bioinformatics, Optimization, and Games.",20000,2014-2015,Discovery Grants Program - Individual
"Ashlock, Daniel","Representation and Applications of Evolutionary Computation to Bioinformatics, Optimization, and Games.",20000,2013-2014,Discovery Grants Program - Individual
"Ashlock, Daniel",Computational intelligence for manufacturing support,81700,2013-2014,Collaborative Research and Development Grants
"Ashlock, Daniel",Computational intelligence for manufacturing support,81700,2016-2017,Collaborative Research and Development Grants
"Ashlock, Daniel","Representation and Applications of Evolutionary Computation to Bioinformatics, Optimization, and Games.",20000,2016-2017,Discovery Grants Program - Individual
"Ashlock, Daniel","Representation and Applications of Evolutionary Computation to Bioinformatics, Optimization, and Games.",20000,2017-2018,Discovery Grants Program - Individual
"Ashlock, Wendy",Bioinformatic Study of Programmed Genome Rearrangement,40000,2014-2015,Postdoctoral Fellowships
"Ashtiani, Hassan",Foundations of Unsupervised and Weakly Supervised Learning,23000,2022-2023,Discovery Grants Program - Individual
"Askari, Mina",Privacy metrics for data sanitization,21000,2010-2011,Postgraduate Scholarships - Doctoral
"AskariHemmat, Reyhane",Game optimization for Machine Learning,21000,2021-2022,Postgraduate Scholarships - Doctoral
"AskariHemmat, ReyhaneREYH",Game optimization for Machine Learning,21000,2022-2023,Postgraduate Scholarships - Doctoral
"Asokan, Nadarajah",Hardware-assisted Security,55000,2022-2023,Discovery Grants Program - Individual
"Asoodeh, Shahab",Algorithmic Watchdog for Differential Privacy: From Theory to Practice,25000,2022-2023,Discovery Grants Program - Individual
"Assal, Hala",Privacy and Security in Software and Things: A Human Perspective,24000,2022-2023,Discovery Grants Program - Individual
"Atlee, Joanne",Feature-Oriented Software Engineering,41000,2022-2023,Discovery Grants Program - Individual
